# Pick And Place List
# eMail=
#
# Project=MMM
# Date=16:02:49
# CreatedBy=Fritzing 1.0.6.2025-10-07.1.0.5rc1-97-g04e5bb02
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB. Rotation in degree (0-360, math. pos.)
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
J3,";;;;;;;;","THT",566.376,178.082,-90,Bottom,THT
LM7805,";;;5V;;;;;","to220-igo",788.387,465.76,0,Bottom,THT
100uF,";0.1mF;;35V;;;;;","100 mil [THT, electrolytic]",1442.49,237.104,-90,Bottom,THT
J7,";;;;;;;;","THT",721.698,1565.58,0,Bottom,THT
J8,";;;;;;;;","THT",971.331,2211.14,-90,Bottom,THT
J9,";;;;;;;;","THT",290.187,3279.14,0,Bottom,THT
J10,";;;;;;;;","THT",1334.63,3279.14,0,Bottom,THT
Left,";;;;;;;;","",283.347,531.012,90,Top,MANUAL
CV3,";;;;;;;;","",287.889,890.157,90,Top,MANUAL
CV2,";;;;;;;;","",279.556,1423.47,90,Top,MANUAL
Right,";;;;;;;;","",1293.45,531.012,-90,Top,MANUAL
CV6,";;;;;;;;","",1293.45,890.157,-90,Top,MANUAL
CV1,";;;;;;;;","",282.334,1914.93,90,Top,MANUAL
CV5,";;;;;;;;","",1293.45,1423.47,-90,Top,MANUAL
CV4,";;;;;;;;","",1293.45,1914.93,-90,Top,MANUAL
OLED,";;;;;;;;","",780.917,4001.38,180,Top,MANUAL
3.3k,"3.3k;;;;;0.25W;;;","THT",210.353,1185.88,180,Top,THT
4001,";;;;;;;;","300 mil [THT]",1337.84,73.0044,180,Top,THT
104,";100nF;;35V;;;;;","100 mil [THT, multilayer]",1180.24,249.627,90,Top,THT
3.3k,"3.3k;;;;;0.25W;;;","THT",371.242,1099.22,180,Top,THT
3.3k,"3.3k;;;;;0.25W;;;","THT",707.909,914.993,90,Top,THT
3.3k,"3.3k;;;;;0.25W;;;","THT",618.798,1078.52,-90,Top,THT
3.3k,"3.3k;;;;;0.25W;;;","THT",277.909,1670.52,0,Top,THT
3.3k,"3.3k;;;;;0.25W;;;","THT",56.6122,2171.63,90,Top,THT
3.3k,"3.3k;;;;;0.25W;;;","THT",956.62,1320.74,-90,Top,THT
3.3k,"3.3k;;;;;0.25W;;;","THT",607.317,1706.99,-90,Top,THT
3.3k,"3.3k;;;;;0.25W;;;","THT",1211.04,1107.03,180,Top,THT
3.3k,"3.3k;;;;;0.25W;;;","THT",279.798,2149.33,180,Top,THT
3.3k,"3.3k;;;;;0.25W;;;","THT",1376.51,1188.07,180,Top,THT
3.3k1,"3.3k;;;;;0.25W;;;","THT",62.39,2599.29,90,Top,THT
3.3k,"3.3k;;;;;0.25W;;;","THT",1179.13,1635.66,180,Top,THT
3.3k,"3.3k;;;;;0.25W;;;","THT",951.798,1945.99,-90,Top,THT
3.3k,"3.3k;;;;;0.25W;;;","THT",643.909,2270.06,-90,Top,THT
3.3k,"3.3k;;;;;0.25W;;;","THT",1354.35,1705.66,0,Top,THT
RE2,";;;;;;;;","THT",443.329,2834.08,-90,Top,THT
3.3k,"3.3k;;;;;0.25W;;;","THT",910.464,2521.44,0,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",1124.8,2364.74,0,Top,THT
3.3k,"3.3k;;;;;0.25W;;;","THT",1371.46,2121.55,180,Top,THT
RE1,";;;;;;;;","THT",444.44,3443.53,-90,Top,THT
RE4,";;;;;;;;","THT",1181.77,2835.75,90,Top,THT
J11,";;;;;;;;","THT",396.887,4129.14,0,Top,THT
RE3,";;;;;;;;","THT",1176,3443.53,90,Top,THT
